content,score,label
game nya hd sama seru,5,positif
waw,5,positif
ini lumayan bagus sekali tapi saya sudah benar benar jauh tapi GK tau kenapa langsung diulang dari awal padahal GK kehapus,4,positif
🥰,5,positif
To many annoying ads! Please bring back old version! Why i can't get new update!,1,negatif
enak buat pas gaada internet dan tidak membosankan,5,positif
bgus bgttt 🗿👍🏻😘,5,positif
"sangat cocok dengan diri ku yg suka gabut ayo lah donwload sekarang !!!,sangat sigma sekali!!!!",5,positif
game nya bagus banget aku kasibinta soal nya ?????,5,positif
game bagus gak kayak honkai dan genshin saya suka sekali,5,positif
bagussss mantap dah pokoknya,5,positif
bagus sekali,5,positif
sybo kenapa aku tidak bisa add friend ya padahal sinyalku sudah bagus aku senang sekali bisa add friends dan mengubah nama tapi aku kok tidak bisa seperti mengubah nama nggak bisa dan aku nggak bisa add friends katanya karena sinyalnya jelek tapi saat aku main game lain bagus bagus aja tolong ya di update sybo,5,positif
saya suka dengan game ini dari kecil,5,positif
Sering framedrop di hp RAM 2 GB TT,3,positif
pengen nostalgia waktu masih pake tablet Advan ;v,5,positif
Bagus dan 尺素養成了,4,positif
"game masa kecil, download lagi karena kangen",5,positif
game nya sangat seru,5,positif
Keren.,5,positif
ini game satu sangat seru loh haiya saya jadi kecanduan lo,5,positif
good,3,positif
nostalgia banget bjirr kalo dimainin gk kerasa udh lama🥺,5,positif
permainan ini sangat bagus and jenius apalagi ini tidak memakai sinyal,5,positif
Bagus menyenangkan menghibur,5,positif
kepencet iklan ke play store terus malah ke reset poinku👎,1,negatif
Bagus? :),4,positif
"jadi nostalgia sama game ini game ini saya mainin dulu masih SD dan sekarang aku sma pun masih main, mantap broooo",5,positif
game nya Bagus,4,positif
bagus.grafiknya sangat bagus dan pilihan karakternya sangat banyak.oke itu terimakasih,5,positif
kenapa saya tidak bisa membayar menggunakan alfamart mohon tolong diperbaiki kualitas nya masa iya biasanya saya bayar lewat alfamart sekarang tidak bisa kenapa akunku ilang tolong perbaikin hhh,1,negatif
sangat seru dan menyenangkan 😊,5,positif
permainannya sangat bagus sekali,5,positif
game nya seru bangett,5,positif
saya sangat menyukai permainan ini tapi klo bisa dibikin bisa mabar sama garis finis pelarian yg jauuuuuuuuuuuuuuuuuuh banget biar lebih seru👍karna aku suka bngt sama permainan ny aku kasih 5⭐,5,positif
bagus bangett,5,positif
bagus bangettt bisa pake data bisa gak pake data jugaan kalo bosen bisa di update😊,5,positif
bagus,5,positif
ok,5,positif
"gk seru ,gampang bosan",1,negatif
game nya bagus tapi game nya tidak pernah bertema islam dan polisi,5,positif
👍🏻,5,positif
req dikejar tung tung tung sahur,5,positif
matur nuwun sangat gamenya bagus bang dev gak bikin bosen,5,positif
sangat seru,5,positif
👍keren banget games ini,5,positif
karakter nya jangan mahal mahal,2,negatif
"maaf sebelumnya kak,bg🙏anak saya umur 3 thn ada membeli item ,saya telah mengajukan permohonan pengembalian dana , tolong d setujui ya kak ,saya mohon🙏😭 dia membeli harganya 165.000 kami lagi membutuhkan uang itu bg",5,positif
game seru,5,positif
👍,5,positif
SERUU!!!,5,positif
"kasih bintang 3 dlu, semakin kesini semakin mahal karakter barunya, klo bisa jgn pakai uang untuk mendapatkan karakter barunya ikutin event aja lbih bagus",3,positif
PERMAINANE KOK APIK YO BRO BRO COK I UAPIKK TENAN I JAMPOTT JAN ORA RUGI DOWNLOAD GAME IKI NDENGG,5,positif
Menurut gue ya ini bagus tapi agak ngeback jadi mohon perbaikannya ya makasih,2,negatif
game nya seru bgt cocok kalo lagi bosen cuman knp aku kasih bintang 4 soalnya banyak yang bayar karakter pertama kali kita dapetin itu cmn satu dan karakter Sama sketbot nya mahal mahal bgt,4,positif
sangat sangat seru,5,positif
seru tapi skin nya mahal,4,positif
game jadul mantap😁🤫,5,positif
seru bangett🤩,5,positif
ini sangat menyenangkan,5,positif
gamenya bagus,4,positif
seru banget,5,positif
bagus,3,positif
bagus,5,positif
tolong diperbaiki 🙏 kok update lama maki lama gamenya makin jelekkkk👍woy yang buat game tolong benerin kok nggak bisa update👎🙅,1,negatif
bagus dah di update,5,positif
baikk,4,positif
game nya bagus bgt,5,positif
Aku cinta mu,5,positif
seru banget.......🤪,5,positif
bagus banget,5,positif
bagus aku suka apalagi pas udah higt skor seru tuh,5,positif
menyenangkan,4,positif
game nya sih bagus tapi ada sedikit bag pas lagi loncatnya,5,positif
aku sangat senang bermain mainan itu sampai sekarangAku main ini sama teman sejati ku dan teman teman semua dan main bersama bestiy sejati ku permainan ini tuh seru bngt loh aku bisa buat akun lagi dan bisa ngambil akun temen ku ngambil akun pcr ku dan bestiy ku aku sangat senang dengan permainan ini kalau download lama sampai batreku mau habis kataku gak lama eh ternyata lama sampai aku digigit nyamuk sampai aku ngantuk mohon maaf kalau mau di perbarui bilang bahwa kesukaan saya okeyyyyyy,5,positif
bagus tapi pakek paketan 1 giga kalo main ini cuma bulisa 1 harii,5,positif
game nya udh bagus tapi tolong di kurangin iklannya untuk gameplay seru dah itu aja,4,positif
mantap. coy,5,positif
game gabut tapi seruin! kalau kita gak ada Kouta main ini aja iklan nya juga jarang Dateng pas mainin game ini asikk!!! tapi ada season lebih bagus gak?,5,positif
karna seru,5,positif
"game nya bagus tapi tolong karakter karakternya jadi lebih murah kayak prince k harganya 980,000",5,positif
seru,5,positif
"game nya seru,,tapi lebih seru di tahun 2024 sebelum update,,menurutku sii,karena score nya lebih lambat dari pada sebelum update,,jadi semakin sulit dan membosenkan ,dan saya menyesal telah update ,,maaf ku beri bintang 1",1,negatif
kenapa ada tulisan versi ini tidak kompatibel dengan perangkat ini,3,positif
gamenya a menyenangkan tapi kenapa saya ngak bisa mengupdate gamenya mohon tolong diperbaiki agar bisa mengupdate gamenya,3,positif
"game nya bagus tapi kenapa baru 3kali main udah ada bacaan error sih entah HP ku yang error atau udah dari game nya kalau menurut ku ini permainan dibikin lebih detail lagi dan desain nya tuh buat lebih menarik lagi dan kalo mau dapat orang nya tuh harga nya mahal dan susah mau dapetin nya jadi besok semoga harga orangnya lebih murah dan segitu dulu ulasan dari aku beyy, thanks you for watching♥︎𓆩😉𓆪",2,negatif
game nya bagus !!!,4,positif
Game nya seruuu,5,positif
Bagus baget,5,positif
keren,4,positif
well,4,positif
👍👍👍,5,positif
bagi bagus,5,positif
bagus juga,5,positif
geme nya bagus bngt,1,negatif
tolong game ini jangan cepat updated nya,4,positif
aku mau bilang tolongin dong tambahin jalur kereta nya tambahin 3/2 jalur kereta api nya nah juga nanti pas hari natal buat karakter nya Disney princess ada laki laki dan perempuan agar fasilitas yg ada di subway surf 1 lagi tambahin VS nya agar lebih seru terimakasih SYBO GAMES,5,positif
gem ini sangat bagus saya tidak rugi download gem ini bisa membuat kita tersenyum lebar,5,positif
geme nya bagus,5,positif
anjay game kece habis haih,5,positif
banyak iklan,1,negatif
geme ini seru sekali akusuka geme ini,5,positif
mantap,5,positif
bagus seru tapi hanya bisa di mainkan 1 orang jadi saya kasih nilai 3,3,positif
ini sangat enak,5,positif
cukup srru,3,positif
game nya bagus banget collab nya nanti tahun 2026 nanti sybo collab dengan minecraft tanggal 3 februari kalo endless runner jalan raya sibuk tanggal 15 maret please dibikini Terimakasih atas game mu 😁,5,positif
karna game ini bikin menantang dan juga kalo lagi gak ad Kouta bisa main game ini,5,positif
sangat seru dan menantang,5,positif
"ini game dari dulu gak pernah bosen, banyak banget kenangan nya di game ini, dari aku SD sampai sekarang aku SMA, thx banget ya dah buat game subway surf",5,positif
bagus,5,positif
kasihin aku plisss😁,5,positif
menyenangkan kalau bisa adakan event ramadan tahun depan,5,positif
seru banget,5,positif
seru klo di mainin pas lgi gabut,5,positif
game nya sih bagus tapi ga bisa di update tolong di perbaiki lagi ya,2,negatif
bagus,5,positif
"seru sama lucu, apalagi polisi nya baju nya warna pink 🤭",5,positif
p adu skor!! 63jt nih boss,5,positif
gem oflain paling mantap sekali,4,positif
bagus yg gabut,5,positif
seru banget sumpahhhhh 🥰🥰🥰,5,positif
bagus,5,positif
bagus aku suka,5,positif
cocok buat geme gabut,5,positif
"buruan download game ini,ini game luar biasa menguji kesabaran",5,positif
game nya sangat bagus,5,positif
game nya bagus👍🗿,5,positif
game ini bagus banget seru juga gak pake kouta pokoknya bagus seru 👍👍,5,positif
baguss bgt bisaaa offlinee seruuu,5,positif
game seru apalagi bisa ofline,4,positif
Game melatih kefokusan dan kecepatan tangan adalah kesukaan gw lol (Laughing Out Loud),5,positif
keren tapi ga bisa di update,5,positif
game nya sangat bagus,1,negatif
banyak orang,5,positif
bagus bgt permainan ini ! pokoknya asik tapi tolong di kurangi iklan nya dong,5,positif
"wk wk wk wk wk permainan ini dikerjar sama polisi apa bukan ya lucu sih klo menabrak kereta malah dipukul lucu si 🤣🤣🤣 tp keluargaku pd suka dan ada keluargakudi jakarta, tasik , kerawang , sumedang dan lain lain pd suka ko ya udah sementing aku lucu dibanding lain permain sih oh iya menurut ku bisane dikerjar sama polisi karena apa ada masah",5,positif
karena memiliki kisah nyata yang sungguh menyeramkan hingga aku tak mau memainkan lagi tapi alesan ini tidak termasuk untuk menakut-nakuti kalian ya karena ini firasat aku tapi kalau kalian mungkin berbeda,3,positif
🤏🤏🤏🤏🤏🤏👾👾👾👾👾keren🤏🤏 tapi kisah game ny seram kali,5,positif
tidak seru sekali,3,positif
Rame banget game nya,1,negatif
gw Download lama amat,5,positif
"Udah dapat karakter event Crossy Road dan wow eventnya bagus banget. Subway Surf harus sering2 kolaborasi, literally kayak beberapa bulan sekali. Bisa gk kalau kolaborasinya bukan cuman sama game lain, misal sama film gtu, Harry Potter misalkan. Nggak harus sering, kayak beberapa kali dalam setahun, jadi tema pindah2 kotanya tetap jalan. Ini usulan aja dari saya, tolong pikirin ya, makasih",5,positif
bagus,5,positif
tombo Gabut,5,positif
bagus banget saya suka,5,positif
"game udah bagus, tapi perbaiki lagi yaaa terima kasih",5,positif
"nice game, love it",5,positif
saya suka banget sama permainan ini makasih ya udh update geme ini juga 🥳🤩🤩🤩🤩🤩,5,positif
"game ini sangat bagus tetapi masih ada sedikit bug. game ini menjadi game terfavorit saya selema bertahun tahun, game ini wajib kalian download karena ini bisa dimainkan offline maupun online. game ini bisa menghilangkan kebosanan, saya suka memainkan game ini setiap hari karna tidak membosankan sama sekali❤☺",5,positif
geme ini seru bisa main saat santai,5,positif
ini keren klo buat konten SAD/GALAU👍👍,5,positif
"game nya bagus, grafik nya gambar nya yaa semua nya baguslah",5,positif
GOOD 🌷,5,positif
game nya sangat menghibr,4,positif
jelek game ini harus juga apdet,5,positif
seru banget sekarang mah banyak karakter baru.pokoknya mah pol 👍👍,5,positif
permainan yang sangat bagusssss saya sukaaa,5,positif
"gamenya seru dan sangat bagus,ada banyak sekali event yang menarik tapi tolong untuk mengklaim hadiahnya sedikit kurangi iklannya,untuk semuanya bagus karena ini salah satu game pertama yang saya mainkan waktu baru beli hp itu saja ulasan dari saya terimakasih.",5,positif
gamenya bagus bngett aku suka,5,positif
game nya seru dan skin gratis nya banyak bgt pokok nya bagus deh!,5,positif
ok,5,positif
🥰,5,positif
aku suka gamenya tapi ada bug aku lupa bug nya karna sudah lama bug nya datang saat 2021 sekarang tidak bisa lagi pakai bug itu,5,positif
bagus banget permainannya😚😚😚💋💋🤗🤗,5,positif
Permainan nya bagus bgt aku suka di tambah dia itu kaya petualangan pokok nya aku suka bgt dehh soal nya permainan nya seru bgt🥰🥰😇😇😇,5,positif
game nya bagus. Rintangan juga menantang,5,positif
Game yak bagus aku suka game yak tapi tolong bisa ada fitur ganti baju dong terus kalo uang ya buat apa coba aneh game ini bagus tapi aneh gak ada fitur ganti baju dan yang lain,5,positif
saya menyukai sekali permainan ini kalo kuwota saya habis🤣,5,positif
"GK tau, karena belum main",1,negatif
kebanyakan iklan parah ini,2,negatif
"game nya seru, asikk, ga ngebosenin, intinyaa baguss bangett dehh ❤️‍🔥",5,positif
bagus 🟨🟨🟨🟨🟨🟨🟨🟨 🟥🟥🟥🟥🟥🟥🟥🟥 🟨🟨🟨🟨🟨🟨🟨🟨 ⬛⬜⬜🏻⬛⬜⬜⬛ 🏻⬜⬛🏻🏻⬛⬜🏻 🏻🏻🏻🏻🏻🏻🏻🏻 🏻⬛⬜⬜⬜⬜⬛🏻 🏻🏻⬛⬛⬛⬛🏻🏻 🏻🏻🏻🏻🏻🏻🏻🏻 🅛🅤🅕🅕🅨🏴‍,5,positif
"Gamenya bagus, hadiahnya menarik, tapi saya capek mainnya, banyak betul poin yang harus dikumpulkan, capek tangan saya.",4,positif
game bgs and seru,5,positif
karna game ini sangat bgs menurut saya,5,positif
game ini sangat bagus,5,positif
asik geme ya aku suka,5,positif
"untuk tercinta developer game ini terimakasih telah membuat game ini,game ini membuat saya nostalgia dulu....dulu hanya bisa download pakai hp mama kami,arigato uhsaimazu developer game subway surfers 😊😊😊",5,positif
good game!!,5,positif
gem ini sangat seru,5,positif
"i don't know why my data is fully disappeared when i try to logged in into the game. please restore this, i was saving them for years now, i don't wanna lose them.",3,positif
permainan nya seru,5,positif
"saya kehilangan akun saya 😡😡, dan saya sudah menggunakan banyak cara untuk mendapatkan nya lagi tetapi dia sia. tolong bantu saya mengembalikan akun saya🙏🙏",2,negatif
game nya keren dan banyak karakter yang bisa di beli dan juga even yang sangat seru karna even tersebut bisa mendapat kan skin jake ayam yang di mana skin itu aku suka sekali dengan skin jake ayam itu aku mainin terus gam even skin Ayam jake setiap hari,5,positif
"skor 2jt aku hilang, jangan download subway surfers !!!",1,negatif
bagus banget,5,positif
game ini seru bangettt,5,positif
seru bgt .gampang cari uang nya aku kadang bisa sampe 400 paling banyak 600 sih,5,positif
biar bintang yang menjelaskan,3,positif
subasuf permainan seru gessss rowrr 😆,1,negatif
jelek,1,negatif
pm ini sangat bagus aku suka dari jaman entah tahun berapa tapi ini jadi pm yah paling aku suka banget,5,positif
permainan ini sangatt lah bagus,5,positif
terlalu mudah ya min mohon maaf 🐶,1,negatif
bagusss,5,positif
bagus aja,5,positif
seru,5,positif
seru,5,positif
game nya asik+seru,5,positif
game burik jelek,1,negatif
senang banget,2,negatif
game nya seru,5,positif
MB nya terlalu banyak saya GK bisa download itu saya juga GK tau,1,negatif
seru banget!,5,positif
gamee nyaa baguss,5,positif
game yg baik.,5,positif
good,5,positif
seru bangettt,5,positif
seru gak buat bosan,5,positif
sangat mudah untuk dilakukan dan bagus,5,positif
gem sangat bagus,3,positif
ini seru tapi gk ada bagusbya,1,negatif
game nya seru sru bgttt,5,positif
keren,5,positif
sangat seru,5,positif
scam karakter+ papan ilang,1,negatif
good game bro,4,positif
game yng seru,5,positif
game ini enak,5,positif
sangat bagus,5,positif
👍,5,positif
bagussssss dan menantang🤩😍,5,positif
ini bagus banget bisa ngilangin stres,5,positif
game terseru UU,5,positif
mainan nya sangat bagus,5,positif
well wadeded,5,positif
say sangat suka dengan permainan ini,1,negatif
sangat seru,5,positif
bAGUS,5,positif
game ini bagus tapi kalo lagi main ke log ut,5,positif
gamenya bagus bgt top pokoknya bisa di mainin offline juga,5,positif
gem ini sangat baguss,3,positif
gem nya bagus cumak saya bingung koin nya dari mana saran ku koin nya dari yang teman nya ngecat juga tapi beda nya mereka nyuri teros kan di kejar polisi koin nya jatuh dari pencuri gitu sama halaman nya lebih di Lunasin,4,positif
bagus banget aku suka permainan ini aku kasih bintang 🌟🌟🌟🌟🌟,5,positif
bagus banget sih wow udah gitu ajah,5,positif
👍👍,4,positif
bagus banget game nya cuman cepet bosen gak menang menang,5,positif
game nya bagus walaupun banyak iklan,4,positif
lucu ya?,1,negatif
bagus banget seru itu,5,positif
bagus banget game nya,5,positif
mantappp,5,positif
mantap jiwa,5,positif
ok sih,2,negatif
sangat bagus,5,positif
game nya bagus apalagi hero nya event nya skin nya skybord nya tapi iklannya dikurangin ya,5,positif
lama sekali,1,negatif
lamayan bagus karna pas aku baru main lang sung bisa belikarakter walaupun koin ku habis tolong kurangi harga karakter nya jadi harga 30 koin di setiap karakter,4,positif
sangat menarik😄😄,5,positif
sayang,5,positif
pemeras duit siapa-siapa,5,positif
GAME PALING BAGUS👍👍👍👍👍😎😎,5,positif
sangat bagus dan menagjukkan 😎😎,5,positif
bagussssss sekali🤭🤗🤗😊😝,5,positif
game nya seru bgt,5,positif
game nya bagus,5,positif
buruk,1,negatif
"bagus semuanya manteb lhaa, paling penggandaan score nya ngestuck di 30 padahal misi udah selesai sampai 37 bentar lagi 40, kenapa ya kira2? yang lain bisa sampai 30 keatas... jadi agak susah buat ngeraih score nya, yang lainnya mah manteb bgtt, dari dulu sampai sekarang yang terbaik, makasih sybo games",5,positif
sangat puas,5,positif
"banyak update tapi tetep gitu"" aja",4,positif
gila seru lu yang lagi baca download,5,positif
aku suka gemnya bisa offline juga,5,positif
Game nya sangat seru,5,positif
gak bagus karena kebanyakan update,1,negatif
sangat seru sekali main game ini dan mendapat ke fokusan nya dan juga tidak membawa data,4,positif
Aku kasih bintang 1 karena orang aku aja itu belok lo malah lurus,3,positif
Goood,5,positif
Wahh sekarang makin seru jadi nyesel udah pensiun 😅,5,positif
ini game bagus cuman perbanyak lah yang terbaru gituu,5,positif
jujur game nya seru banget sih jadi aku seneng maen nyo 💫,5,positif
permainan ini sangat seru sekali,5,positif
SYBO games kenapa saya tidak bisa mengaitkan akun Facebook saya ke subway suft tidak ada pengaturan untuk mengaitkan nya bagaimana ini,3,positif
karena burik,1,negatif
seru,5,positif
kalo gabut boleh juga main ini🤭,5,positif
Good,5,positif
"game nya seru, kalo nggak ada kuota bisa main ini.",5,positif
"""Pembelian ini dilakukan tanpa sepengetahuan atau izin saya. Anak saya secara tidak sengaja membeli item dalam game tanpa memahami bahwa itu menggunakan uang sungguhan. saya juga sudah mengajukan pengembalian dana di google dan mereka menolak karena item tersebut sudah dipakai anak saya, saya mohon kepada devoloper game ini. agar pengembalian dana untuk transaksi anak saya dibalikkan.",1,negatif
seru aja gituu,4,positif
gem yg cukup baik,5,positif
game nya sih bagus tapi tolong tambahin agar bisa di sambungin di akun geogle agar ketika dihapus akunya tidak hilang saya sudah kehilangan 3 akun jadi mohon di tambahkan🤗🤗,5,positif
😊👍,5,positif
seru banget di mainin pas gabut,5,positif
bagus,5,positif
Makasih,5,positif
permainan ini seru bagit,5,positif
gamenya seru banget,5,positif
"Sangat asyik,aku jadi nggak gabut lagi😅",5,positif
omgg gggggg,5,positif
gem ini seru banget dan kenak dimain ni,5,positif
bagus,5,positif
game ini sangat menemani hari-hari aku saat tidak ada Kouta dan lagi di luar terimakasih,5,positif
inw permainan sawngat sewru,5,positif
game lumayan bagus,4,positif
kenapa saya ko ngga bisa update sih padahal ada tulisan update terus saya pencet udah 100 persen malah ngga bisa padahal dulu bisa. tapi kenapa sekarang ngga bisa sih aku udah main dari tahun 2022 loh terus saya ganti hp terus saya malah ganti hp lagi,3,positif
bagus banget buat hiburan,5,positif
game nya bagus tapi banyak tantangan,4,positif
sering ngelag,4,positif
sangat seru,5,positif
Permainan ini bagus seru juga ngak pake internet tapi boleh ngak tambah orang orangnya itu Ngah usa di download pake internet,5,positif
Matap,5,positif
game nya bagus banget seru di mainin nya seru Pokok nya,5,positif
"game nya bagus cuma suka ngeleg aja, jadi susah ngebelokin nya",5,positif
ini kenapa ya? saya udh update tapi pas login malah disuru periksa untuk update lagi? padahal kemaren sudah jelas game nya sudah saya update. bagaimana sih?,2,negatif
saya suka game ini,5,positif
wajib download,5,positif
sangat seru!,5,positif
saya sagat suka degan gem ini,5,positif
game nya memang bagus + seru aku suka sampai aku hapus download lagi,5,positif
Mon Korang bintanga ngabele,5,positif
bagus,4,positif
bayak iklan jelek bau ketek polisi nya,2,negatif
Aku sangat suka gem ini setiap bulan udate terus dan selalu ada karakter yang menarik yang bisa didapatkan. Dan gem ini juga bisa bersaing dengan orang orang untuk mencetak rekor tertinggi supaya dapat medali pokok nya gem oflain no 1,5,positif
seru,5,positif
ga bisa di download:/,1,negatif
puas,5,positif
game ini bagus agar gak gabut,5,positif
Gilak sihh game nya seru banget,5,positif
game nya seru kalau gabut tinggal main,5,positif
seru gemesnya,5,positif
enak sih tapi kalau dah jauh kenaap kenak kereta atau dinding dekat kembali mohon defolofer di ganti,5,positif
"hayeuh bae kudu di update, cape aink",2,negatif
seruuuu bangetttt,5,positif
"game nya bagus, cocok di mainin kalau lagi gabut atau bosen, game nya bisa di mainkan jika offline atau online, seru juga, karakternya pada bagus semua intinya game ini THE BEST",5,positif
permainan ini sangat seru,5,positif
sangat cocok dan bagus,5,positif
keren,5,positif
bagus banget,5,positif
mantap²,4,positif
game ini sangat keren dan bagus banget,5,positif
bagus dan seru game nya,5,positif
cocok kali menghilangkan rasa sedih marah atau apalah itu(dll) . mengatur emosi juga..💪,3,positif
wawwwwwww,5,positif
good game man this game IS so good,5,positif
karena permainan tersebut menyenangkan bagi saya,5,positif
game ini baguss aku dan adik ku suka bangat makasih udah buat game ini,5,positif
"Suka bgt bisa main sesuka hati, kalau kalah dikasih kesempatan,kalau high score dikasih tau",5,positif
game ini bagus,5,positif
keren,5,positif
karena sering update,2,negatif
sure,5,positif
Oke banget,5,positif
sangat seru untuk dimainkan,4,positif
min kenapa akun ku tiba-tiba hilang sendiri min tolong lah kok bisa gitu,1,negatif
gem ini emang paling seru sih,5,positif
geme ny bagus ak suka tapi pas download nya kan udh menginstal tapi tu lama banget nunggu ny tolong d perbaiki lagi untuk geme subway surf tolong di perbaiki lagi 🙏🙏🙏,5,positif
game nya seru,5,positif
baguss,5,positif
agak gajelas soalnya udah Download di tinggal main bentar ilang aneh!,3,positif
"game ini sangat bagus dan seru , cuma coba temanya kayak:ramadhan, karnaval rio dll soal nya kan ada namanya koin acara saya nabung dulu untuk beli karakter Tutti.😄tapi bagus aja kok game nya dari masa ke masa☺",5,positif
bagus,5,positif
aku suka main nya,5,positif
mantap lah pokoknya,5,positif
"gamenya bagus, dari grafik dan visual sangat smooth, cuma sistem karakter sekarang kalau bisa dibuat seperti dulu saja lebih efisien dan praktis karena sekarang karakter dan skinnya semua muncul berdampingan 🙏 untuk selebihnya sudah bagus 👍",5,positif
seru banget!,5,positif
lumayan bagus,5,positif
"aku rating bintang lima karna game nya seru, bisa dimainkan secara offline,dan banyak karakter karakternya. tapi aku minta tolong agar iklan nya itu dihapus. dan juga seharusnya ini game harus bisa di agrape yah, semoga ulasan ku ini bermanfaat",5,positif
agak ribet kalo udah turun seanson harus update terus.tapi permainannya juga seru manantang.,1,negatif
ya menurut saya sih game ini keren juga bisa melatihkan jari jari biar cepet sih keren,5,positif
permainan nya bagus kakak aku juga suka,5,positif
"game nya bagus banget, cocok saat wifi/paketan habis, dan cocok saat gabut",4,positif
gamenya bagus,1,negatif
seru sekali bermain game ini,5,positif
sangat seru di permainan ini meski selalu tertabrak wkwkwk,5,positif
bagus ya bagus tapi tolong perbaiki geme nya soalnya harganya mahal mahal sama Iven Inya terlalu susah,5,positif
"padahal mau main lagi keinget waktu dulu. tapi, kenapa ga kompetibel?.",5,positif
perbaiki gamenya asal guna wifi ngelag sekali ndak guna wigi gak ngelag btw gamenya seru semangat gua akan naikin game top 10 game Amiin😁😁😁😁,4,positif
bagus,4,positif
"Game ini sangat keren kenapa begitu banyak hal menarik seperti memberikan jatpack begitu banyak, sehingga saya bisa masuk top global saya mencapai skor 56.397.133 yah meskipun 28 jam lamanya memainkan game ini. tapi tetap seru thaks yah developernya!",5,positif
keren seru banget gak ngebosenin kalau lagi gabut,5,positif
bagus ada 8 bit tapi semenit doang plis selamanya dong 8 bitya,5,positif
game ini sangat sery dan menyenangkan tetapi ada momen tegangnya juga,5,positif
game nya bagus banget,5,positif
game nya seru cuma agak gak masuk akal gitu mau nya di sempurnain gitu. terus jenis jenis lokasi nya juga lumayan bosenin . motif orang orang nya juga semua sama uda gitu harga nya mehong mehong jadi kalo orang mau beli harus main minimal kayak tiga hari an gitu. terus tentang mabar ribet banget di per mudah ya cara mabar nya. uda itu aja makasih,3,positif
Bagus sekali game nya,5,positif
GEME NYABAGUSSSSSSS,4,positif
Game ny seruu bgt,5,positif
bagus game nya,5,positif
seru,5,positif
